,DC_TTS_Camila_Godoy,DC_TTS_Celeste_Arretche,DC_TTS_LucasDiaz,DC_TTS_MaxSignorini,DC_TTS_Miguel_Grassi,DC_TTS_NaomiBent,DC_TTS_SanMig,Fastpitch_MultiSpeaker,Fastpitch_ar,Fastpitch_esp,Fastpitch_esp2,Loquendo_f,PollyN_Fiona,PollyN_Pedro,Polly_Enrique,Polly_Lupe,Polly_Mia,Polly_Miguel,Polly_Penelope,Polly_conchita,Polly_enrique_GL,Speechelo_Albano,Speechelo_Fiore,Speechelo_olimpia,Speechelo_pricila,VTLPes-AR-Tomas,VTLPes-AR-TomasElena,VTLPes-BO-MarceloNeural,VTLPes-ES-ElviraNeural,azure_AR-Elena,azure_AR-Tomas,es-BO-MarceloNeural,es-BO-SofiaNeural,es-ES-AlvaroNeural,es-ES-ElviraNeural,es-MX-JorgeNeural,es_ar_librivox,neruas_f1_arg,neruas_f2_arg,neruas_m1_arg,neruas_m2_arg,open_srl_es_ar_female_1,open_srl_es_ar_female_2,open_srl_es_ar_male_1,open_srl_es_ar_male_1_GL,open_srl_es_ar_male_2,open_srl_es_ar_male_3,speecheloAI_Leticia,speecheloAI_Olimpia,speechelo_lalita,tiktok_m1,tiktok_m2,tts_dewhitte
VTLPes-ES-ElviraNeural,0.020888678311650213,5.069845640335168e-09,3.780626193206709e-12,0.030465533084447417,1.0,0.02163062092773185,1.0,0.2580340949678339,1.792663419068798e-19,1.3583360130136613e-15,5.700161334855665e-21,0.7833870480934264,3.0747846177465863e-12,1.3906088103379927e-15,1.2913320437083815e-11,5.5334434479863216e-06,5.376466368394051e-09,2.223118669320008e-06,1.6151842923332899e-06,0.0005273210031474177,2.4512172539664215e-05,3.953237612637385e-12,6.729555331625433e-06,0.0003456469347566238,2.144081350720073e-06,1.0,1.0,1.0,1.0,6.209707098924507e-26,5.66149023242031e-14,1.286225202265973e-13,5.58206501788966e-07,8.544162826084519e-17,4.035488798985276e-05,1.0055801610140475e-18,1.1690135883320449e-67,3.5401165120222767e-13,1.0,4.950910542418344e-06,1.0,7.850010544551596e-66,2.331281956719372e-69,1.5606581359529762e-62,5.381524220130664e-52,1.588051471331785e-68,6.375407753123247e-70,1.3267200015378783e-21,2.4503267086001944e-06,1.7184965615502397e-05,1.0,1.0,1.0
azure_AR-Elena,5.426999229805451e-12,0.0005776939801148573,0.20227104455803424,1.0,1.0,2.2222675193554335e-10,0.0735033040025984,1.5911650605612438e-18,1.0,0.03499258125980913,1.0,2.593338134473444e-13,0.3145224163193957,1.0,0.3231461994569178,2.1648605645830383e-05,0.009407157450795853,1.0,0.00010999974359790996,2.9377094454348434e-07,0.00020682997971290844,1.0,0.00013226913816425788,1.179714412477629e-05,0.0006276168915581733,6.652833367663284e-10,6.652833367663284e-10,1.4803452303888396e-19,6.209707098924507e-26,1.0,1.0,1.0,0.028221120359882654,1.0,1.480318196563626e-06,1.0,0.0009432510431548776,1.0,1.0,0.007173862234468744,1.0,1.237966350249771e-05,2.9202819509785253e-06,1.4236828385064978e-05,1.0,1.8855670906027904e-06,3.149238843422809e-06,1.0,2.0220978453012863e-05,8.604874128191877e-06,0.07731875040143826,1.0,8.523699912839715e-21
azure_AR-Tomas,0.00022596589782450697,1.0,1.0,1.0,1.0,0.0011494381461904764,1.0,1.7404697470429967e-07,1.0,1.0,1.0,1.872027745166689e-05,1.0,1.0,1.0,0.785865699290525,1.0,1.0,1.0,0.06152662118844898,1.0,1.0,1.0,0.3494634917513659,1.0,0.0005406040901034783,0.0005406040901034783,1.3255366782441394e-09,5.66149023242031e-14,1.0,1.0,1.0,1.0,1.0,0.187414174661247,1.0,3.1954738219751187e-06,1.0,1.0,1.0,1.0,4.084783092260076e-08,9.393274748740804e-09,4.8643630151291264e-08,0.013948066281424153,6.08666896797457e-09,1.0108041499609068e-08,1.0,0.8387584622832446,0.45605586072548215,1.0,1.0,5.175607227137262e-10
es-BO-MarceloNeural,0.0036556599107290455,1.0,1.0,1.0,1.0,0.020344091952270812,1.0,1.0554530699882886e-06,1.0,1.0,1.0,0.000276145268503056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009569506545050592,0.009569506545050592,9.154488545357434e-09,1.286225202265973e-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.896093707061657e-14,1.0,1.0,1.0,1.0,4.212536204662086e-16,2.6151248608800157e-17,1.449076704019188e-15,7.761159195034387e-08,2.1106962975770206e-17,2.367284248748066e-17,1.0,1.0,1.0,1.0,1.0,2.624404722609281e-09
es-BO-SofiaNeural,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15620204306846575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015135903176607048,5.58206501788966e-07,0.028221120359882654,1.0,1.0,1.0,1.0,1.0,1.0,8.625058263170874e-18,1.0,1.0,1.0,1.0,9.784950964831856e-20,5.694169513291394e-21,3.6938953683597693e-19,3.220074762208515e-11,4.6654450678386804e-21,5.111328264764131e-21,1.0,1.0,1.0,1.0,1.0,0.0010362451456125824
es-ES-AlvaroNeural,3.906321025079953e-05,1.0,1.0,1.0,1.0,0.00037029377540141446,1.0,1.4467025972073832e-09,1.0,1.0,1.0,2.372018700085693e-06,1.0,1.0,1.0,0.9132635253190763,1.0,1.0,1.0,0.0478877318909838,1.0,1.0,1.0,0.39676415543089055,1.0,0.0002531014488761827,0.0002531014488761827,2.050483762346649e-11,8.544162826084519e-17,1.0,1.0,1.0,1.0,1.0,0.16908719145517534,1.0,1.0847247424444711e-11,1.0,1.0,1.0,1.0,1.0628891310463621e-13,8.343808104709826e-15,2.919745351596162e-13,6.491164824326582e-06,6.366877834225046e-15,7.839609943520041e-15,1.0,0.9640981815602695,0.4896412139038599,1.0,1.0,3.684920634323825e-12
es-ES-ElviraNeural,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2588370338915003,1.0,0.05899799013350832,1.0,1.0,0.6191577364049438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08522133507522808,4.035488798985276e-05,1.480318196563626e-06,0.187414174661247,1.0,1.0,0.16908719145517534,1.0,0.004357384418767011,1.8966590397032438e-31,0.3610807062630616,1.0,1.0,1.0,2.08916055675455e-32,1.5699987425062916e-34,6.791085049178667e-31,3.658643660642316e-21,2.546552668182694e-34,9.364771377684518e-35,0.001591477710729404,1.0,1.0,1.0,1.0,0.06361926592615076
es-MX-JorgeNeural,5.015037801291655e-07,0.4047498569491725,1.0,1.0,1.0,5.707196985751093e-06,0.7986433116644259,1.546607496202202e-11,1.0,1.0,1.0,2.9360707245557866e-08,1.0,1.0,1.0,0.02976453611096421,1.0,1.0,0.09339138802377238,0.0011273059297937278,0.11051860599927624,1.0,0.09296064010279985,0.013226602934825627,0.27573573392758827,4.8036224715844815e-06,4.8036224715844815e-06,2.1871465219903913e-13,1.0055801610140475e-18,1.0,1.0,1.0,1.0,1.0,0.004357384418767011,1.0,2.307490072383432e-06,1.0,1.0,1.0,1.0,2.5026365995854336e-08,4.634500980566686e-09,3.425881756960565e-08,0.02293128162615139,3.0528786039225586e-09,4.883699450501156e-09,1.0,0.030719480151658506,0.014778732172904603,0.7506654492759509,1.0,3.967052361535617e-14
es_ar_librivox,3.6406079066323616e-46,1.319015182151517e-26,7.850240943641112e-19,0.5182032430694151,0.02783699942277383,3.755751794683718e-40,3.8644010424143776e-07,2.88184010369534e-68,1.8811868209643347e-20,1.6468516738014038e-25,9.465840665285031e-19,3.0981342120917985e-46,4.716011262407902e-18,4.368827110532725e-13,1.6566074368383643e-17,2.434234936859095e-28,1.3226333479278702e-21,2.7421264826096004e-07,2.2747466418589922e-26,3.6495678491991574e-32,7.940287053480145e-24,1.0925691003908837e-14,2.917437480304707e-25,1.0642533190398005e-26,2.3889524531387036e-23,9.382795844836377e-34,9.382795844836377e-34,5.751962492333743e-57,1.1690135883320449e-67,0.0009432510431548776,3.1954738219751187e-06,3.896093707061657e-14,8.625058263170874e-18,1.0847247424444711e-11,1.8966590397032438e-31,2.307490072383432e-06,1.0,2.5730129290411027e-06,1.0,4.813876973117645e-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6434012521000633e-09,5.886653620813152e-29,3.8371250010000975e-29,8.635212969822855e-07,0.0004171055727169376,2.6608881210055935e-62
neruas_f1_arg,0.0006306295158550251,1.0,1.0,1.0,1.0,0.0028544901986411937,1.0,7.694663310415967e-07,1.0,1.0,1.0,5.6090632966338184e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12388093287062715,1.0,1.0,1.0,0.6280894901041167,1.0,0.001256354520247169,0.001256354520247169,5.762767212103361e-09,3.5401165120222767e-13,1.0,1.0,1.0,1.0,1.0,0.3610807062630616,1.0,2.5730129290411027e-06,1.0,1.0,1.0,1.0,3.346008635116447e-08,7.840401670792618e-09,3.9413170825926095e-08,0.010656739763921686,5.076193521382225e-09,8.450547567217445e-09,1.0,1.0,0.833124281710581,1.0,1.0,2.492657911319841e-09
neruas_f2_arg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neruas_m1_arg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7285399921636933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008327733827156904,4.950910542418344e-06,0.007173862234468744,1.0,1.0,1.0,1.0,1.0,1.0,4.813876973117645e-19,1.0,1.0,1.0,1.0,5.792415073787176e-21,3.0498382214622113e-22,2.4190856125233313e-20,2.9244282449759337e-12,2.56462735803137e-22,2.6925946074703773e-22,1.0,1.0,1.0,1.0,1.0,0.006229085436364456
neruas_m2_arg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_srl_es_ar_female_1,2.028048733842876e-45,9.105886841708704e-28,1.43649372185896e-20,0.06810693041847805,0.0046335618863492314,2.247495016826905e-40,2.0561776300762884e-08,4.03234604156094e-63,1.025907184330398e-21,2.586443274246079e-26,3.74043123929669e-20,6.300078741328374e-46,7.650832501261152e-20,4.5829063258978926e-15,2.378328701032715e-19,1.4549011885895526e-29,2.935847407119316e-23,4.352257783319041e-09,9.458249461056918e-28,3.595305705316486e-33,1.6715501391293812e-25,1.1793996171453041e-16,8.650316687492174e-27,3.1298864689066777e-28,5.322535212567954e-25,4.45919134865077e-35,4.45919134865077e-35,6.198439687892733e-56,7.850010544551596e-66,1.237966350249771e-05,4.084783092260076e-08,4.212536204662086e-16,9.784950964831856e-20,1.0628891310463621e-13,2.08916055675455e-32,2.5026365995854336e-08,1.0,3.346008635116447e-08,1.0,5.792415073787176e-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4640859283562448e-11,4.440220252590433e-30,2.517572954363317e-30,5.3344715017314754e-08,3.6633771107228546e-05,3.373865277553238e-60
open_srl_es_ar_female_2,1.936218629440748e-48,9.338422565063545e-30,4.3439700718106125e-22,0.04732815515887999,0.0034231079511615175,6.346659782734224e-43,1.1045396149019899e-08,8.003268106918003e-68,1.2456138098586367e-23,1.5977464944620046e-28,5.732833675470289e-22,9.501749908764313e-49,2.639198460947314e-21,3.010090534950374e-16,9.522526106490989e-21,1.6446902785982417e-31,7.357899358889046e-25,1.2317594886162634e-09,1.3956749723007265e-29,2.8962590057384224e-35,4.435595089518738e-27,7.39738718142351e-18,1.6771696789824409e-28,6.1201527586127045e-30,1.3342712282633452e-26,5.94365323677224e-37,5.94365323677224e-37,4.18397840243924e-59,2.331281956719372e-69,2.9202819509785253e-06,9.393274748740804e-09,2.6151248608800157e-17,5.694169513291394e-21,8.343808104709826e-15,1.5699987425062916e-34,4.634500980566686e-09,1.0,7.840401670792618e-09,1.0,3.0498382214622113e-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3473566774304076e-12,4.2781698434430425e-32,2.6656050975368706e-32,3.016746553935653e-08,2.3019403234398337e-05,8.023876220853375e-64
open_srl_es_ar_male_1,7.601406019939139e-43,2.0081460255504024e-26,9.963964560487868e-20,0.054906451451685365,0.0037898543741894247,2.3370301320277229e-38,1.679724180247408e-08,1.8648204205831277e-58,1.7167784826459034e-20,9.225420619361008e-25,4.860889971543052e-19,1.4267948530111954e-43,4.652586475334209e-19,1.4843438607625763e-14,1.2539423996560335e-18,2.9835842002467675e-28,2.5187966662182667e-22,4.609116759538151e-09,1.4459743553855387e-26,1.0982061003048597e-31,1.3923099628140796e-24,4.0458889727752726e-16,9.9510603483704e-26,3.628124004363627e-27,4.6605336636168396e-24,8.198715314384758e-34,8.198715314384758e-34,4.0729709739504554e-53,1.5606581359529762e-62,1.4236828385064978e-05,4.8643630151291264e-08,1.449076704019188e-15,3.6938953683597693e-19,2.919745351596162e-13,6.791085049178667e-31,3.425881756960565e-08,1.0,3.9413170825926095e-08,1.0,2.4190856125233313e-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.6335243884252504e-11,1.0799465597708602e-28,5.57730330964179e-29,4.3217896625249967e-08,2.9412139660565758e-05,8.035954001609693e-57
open_srl_es_ar_male_1_GL,2.1873390666106996e-32,6.259432743235205e-17,3.738238190761102e-11,1.0,0.3349137682646902,3.6535949730199795e-28,4.128457624841189e-05,2.8641036337212074e-48,2.995714730094785e-11,4.796713771725991e-15,5.388243948918799e-10,3.43634999772428e-33,1.278969792311811e-10,6.151988656954412e-07,2.449433477779879e-10,8.860120946184796e-19,1.6080886083542526e-13,0.0006277812804495716,2.7509985071153142e-17,5.605029575182449e-22,9.129473541688955e-16,2.2415621445989057e-08,1.191374911082716e-16,4.5772550340322374e-18,3.294876993812451e-15,2.3414801280696033e-24,2.3414801280696033e-24,1.3403296193992874e-42,5.381524220130664e-52,1.0,0.013948066281424153,7.761159195034387e-08,3.220074762208515e-11,6.491164824326582e-06,3.658643660642316e-21,0.02293128162615139,1.0,0.010656739763921686,1.0,2.9244282449759337e-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005185374007126215,4.0084812339455016e-19,1.8567788379748375e-19,6.770267676861245e-05,0.015116510231762246,2.777681578976353e-46
open_srl_es_ar_male_2,7.652541310722242e-48,1.3475967491493144e-29,4.303758599793057e-22,0.03614038689691186,0.0027026996636570003,1.5386621613374605e-42,7.711979896046408e-09,2.2794589224206566e-66,1.698946220087781e-23,2.8294199140119463e-28,7.183267717110212e-22,3.032833782082582e-48,2.5103155457561406e-21,2.3962888922024725e-16,8.661023659629666e-21,2.2822422734147083e-31,7.731723380646882e-25,7.949242660458199e-10,1.757030550491256e-29,4.5663701707144916e-35,4.5665807034198034e-27,5.953229825532558e-18,1.9174027705817585e-28,6.968588020975279e-30,1.400048038276241e-26,7.722495557602655e-37,7.722495557602655e-37,1.9265013873504226e-58,1.588051471331785e-68,1.8855670906027904e-06,6.08666896797457e-09,2.1106962975770206e-17,4.6654450678386804e-21,6.366877834225046e-15,2.546552668182694e-34,3.0528786039225586e-09,1.0,5.076193521382225e-09,1.0,2.56462735803137e-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7179437338131617e-12,6.308294315174793e-32,3.7894399599990946e-32,2.1375937463752446e-08,1.688695234275179e-05,6.147481446157662e-63
open_srl_es_ar_male_3,7.02718468198357e-49,5.944447078227909e-30,3.454396734174529e-22,0.0512891266245942,0.0036771529968436328,3.022708026709208e-43,1.2196651911663473e-08,9.915010690466228e-69,8.151999668328576e-24,8.997555851509638e-29,3.943075834884238e-22,3.89142548540696e-49,2.1521558784524804e-21,2.748756042316411e-16,7.986595365742643e-21,1.0729542208596252e-31,5.651030521894305e-25,1.346146382259489e-09,9.63548860681804e-30,1.757370343025041e-35,3.4539043156235715e-27,6.711239845969884e-18,1.2261537767341762e-28,4.488749238071843e-30,1.0266623362109714e-26,4.043291023924657e-37,4.043291023924657e-37,1.4084018045838195e-59,6.375407753123247e-70,3.149238843422809e-06,1.0108041499609068e-08,2.367284248748066e-17,5.111328264764131e-21,7.839609943520041e-15,9.364771377684518e-35,4.883699450501156e-09,1.0,8.450547567217445e-09,1.0,2.6925946074703773e-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2695151906858828e-12,2.6937480288066785e-32,1.7152317325816543e-32,3.32295879523476e-08,2.518153099246268e-05,2.0461847903204413e-64
speecheloAI_Leticia,3.0672635223626114e-08,0.26219147315067354,1.0,1.0,1.0,7.15166616747554e-07,0.9587807579305968,3.525404853704314e-14,1.0,1.0,1.0,1.523924416147449e-09,1.0,1.0,1.0,0.014733881915609424,1.0,1.0,0.05492386759499956,0.00036134531614521233,0.07374172187409456,1.0,0.057525892893399426,0.006825596917443613,0.19763935032791122,1.0753428606184939e-06,1.0753428606184939e-06,1.9080916626194536e-15,1.3267200015378783e-21,1.0,1.0,1.0,1.0,1.0,0.001591477710729404,1.0,2.6434012521000633e-09,1.0,1.0,1.0,1.0,2.4640859283562448e-11,2.3473566774304076e-12,5.6335243884252504e-11,0.0005185374007126215,1.7179437338131617e-12,2.2695151906858828e-12,1.0,0.014757819555877062,0.006692693029767161,0.9032421467769277,1.0,1.486604311973253e-16
speecheloAI_Olimpia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4868414117735387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010265770849461672,2.4503267086001944e-06,2.0220978453012863e-05,0.8387584622832446,1.0,1.0,0.9640981815602695,1.0,0.030719480151658506,5.886653620813152e-29,1.0,1.0,1.0,1.0,4.440220252590433e-30,4.2781698434430425e-32,1.0799465597708602e-28,4.0084812339455016e-19,6.308294315174793e-32,2.6937480288066785e-32,0.014757819555877062,1.0,1.0,1.0,1.0,0.006697847912845753
speechelo_lalita,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8698154282933788,1.0,0.22621266134113338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04114284484995211,1.7184965615502397e-05,8.604874128191877e-06,0.45605586072548215,1.0,1.0,0.4896412139038599,1.0,0.014778732172904603,3.8371250010000975e-29,0.833124281710581,1.0,1.0,1.0,2.517572954363317e-30,2.6656050975368706e-32,5.57730330964179e-29,1.8567788379748375e-19,3.7894399599990946e-32,1.7152317325816543e-32,0.006692693029767161,1.0,1.0,1.0,1.0,0.02985585432980432
tiktok_m1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07731875040143826,1.0,1.0,1.0,1.0,1.0,0.7506654492759509,8.635212969822855e-07,1.0,1.0,1.0,1.0,5.3344715017314754e-08,3.016746553935653e-08,4.3217896625249967e-08,6.770267676861245e-05,2.1375937463752446e-08,3.32295879523476e-08,0.9032421467769277,1.0,1.0,1.0,1.0,1.0
tiktok_m2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004171055727169376,1.0,1.0,1.0,1.0,3.6633771107228546e-05,2.3019403234398337e-05,2.9412139660565758e-05,0.015116510231762246,1.688695234275179e-05,2.518153099246268e-05,1.0,1.0,1.0,1.0,1.0,1.0
tts_dewhitte,1.0,4.433723973024067e-05,6.831462647731934e-08,0.6668841318959847,1.0,1.0,1.0,1.0,2.8852082714807486e-14,1.1309717689596677e-10,1.1251746312807644e-15,1.0,5.40602896839003e-08,4.8135953830673445e-11,1.7294800620989674e-07,0.012100563585623676,3.380681100153392e-05,0.0010859252517104604,0.0042051928382280356,0.4341979432155069,0.028992138529039556,5.035466086190106e-08,0.01181620256137104,0.24450345053490005,0.004362997591653912,1.0,1.0,1.0,1.0,8.523699912839715e-21,5.175607227137262e-10,2.624404722609281e-09,0.0010362451456125824,3.684920634323825e-12,0.06361926592615076,3.967052361535617e-14,2.6608881210055935e-62,2.492657911319841e-09,1.0,0.006229085436364456,1.0,3.373865277553238e-60,8.023876220853375e-64,8.035954001609693e-57,2.777681578976353e-46,6.147481446157662e-63,2.0461847903204413e-64,1.486604311973253e-16,0.006697847912845753,0.02985585432980432,1.0,1.0,1.0
