stimuli,stimuli_group,gender,dialect
DC_TTS_Camila_Godoy,A1,F,ARG
DC_TTS_Celeste_Arretche,A2,F,ARG
Fastpitch_MultiSpeaker,A3,M,ARG
Loquendo_f,A4,F,ES
tts_dewhitte,A5,F,ES
DC_TTS_LucasDiaz,A6,M,ARG
DC_TTS_NaomiBent,A7,F,ARG
DC_TTS_MaxSignorini,A8,M,ARG
DC_TTS_Miguel_Grassi,A9,M,ARG
DC_TTS_SanMig,A10,M,ARG
Fastpitch_ar,B1,M,-
Fastpitch_esp,B2,F,ES
Polly_enrique_GL,B3,M,ES
tiktok_m1,B4,M,ES
tiktok_m2,B5,M,MEX
Polly_Miguel,B6,M,ES-US
Fastpitch_esp2,B7,M,ES
VTLPes-BO-MarceloNeural,B8,M,BO
VTLPes-ES-ElviraNeural,B9,F,ES
VTLPes-AR-TomasElena,B10,F,ARG
VTLPes-AR-Tomas,B10,M,ARG
Polly_Penelope,C1,F,ES-US
PollyN_Fiona,C2,F,CAST
PollyN_Pedro,C3,M,ES-US
Speechelo_Fiore,C4,F,ES-US
Speechelo_Albano,C5,M,CAST
Speechelo_olimpia,C6,F,ES-US
Polly_conchita,C7,F,CAST
Polly_Enrique,C8,M,CAST
Polly_Lupe,C9,F,ES-US
Polly_Mia,C10,F,MEX
neruas_f1_arg,D1,F,ARG
neruas_f2_arg,D1,F,ARG
neruas_f_chi,D1,F,CHI
neruas_f_col,D1,F,COL
neruas_f_per,D1,F,PER
neruas_f_pr,D1,F,PR
neruas_f_ven,D1,F,VEN
neruas_m1_arg,D2,M,ARG
neruas_m2_arg,D2,M,ARG
neruas_m_chi,D2,M,CHI
neruas_m_col,D2,M,COL
neruas_m_per,D2,M,PER
neruas_m_pr,D2,M,PR
neruas_m_ven,D2,M,VEN
speecheloAI_Leticia,D3,F,MEX
speecheloAI_Olimpia,D4,F,ES-US
es-BO-MarceloNeural,D5,M,BO
es-ES-AlvaroNeural,D6,M,ES
es-ES-ElviraNeural,D7,F,ES
open_srl_es_ar_male_1_GL,D8,F,ARG
Speechelo_pricila,D9,F,CAST
speechelo_lalita,D10,F,MEX
open_srl_es_ar_female_1,E1,F,ARG
open_srl_es_ar_female_2,E2,F,ARG
es_ar_librivox,E3,M,ARG
open_srl_es_ar_male_1,E4,M,ARG
open_srl_es_ar_male_2,E5,M,ARG
azure_AR-Elena,E6,F,ARG
azure_AR-Tomas,E7,M,ARG
es-BO-SofiaNeural,E8,F,BO
open_srl_es_ar_male_3,E9,M,ARG
es-MX-JorgeNeural,E10,M,MEX