participant_id,A1,A10,A2,A3,A4,A5,A6
0686z3qx28ycuvnhfh47s4,1,,,1,2,1.33333333333333,3
0om1fva4uhily4cvg6368lr,1,,2,1,2.5,1.33333333333333,
0ym8eutpogxka159e5ipr,4,,5,2,2.5,,
1fgxubpy0xwiv2pej4vr2b9,,,,1,,2,1
1op1nsk5as4g01i0b6df4,1,,2,1.5,,,1.5
206p58uyu9nk2vq5pzue1,1,,,1,1,1,1.5
23941hs1otfeqo20p4kqo,3,,2,2,3,,2
27o0tqrm38o6wjtgaiqzy7,1,,2.5,4,,1,5
27v7gfob3bcutmzb232i,1.33333333333333,,1,1,,1,
2usvcjv42qa2ai740w1pyp,3,,,3,2,,3.66666666666667
2xzqu3dshjhelyob7pu07b,3,,4,2.5,1,1,3
36w18huenqzembkxhb4b67,2,,,1,1,2,
38vs1n02f4iaxehu9v4n1p,3.5,,3,,1.5,,4.33333333333333
3szg6xzqeq7ohj6myf0j,,,1.66666666666667,1,2,1,1.5
3u64elxh3bm4hoeutjzcgg,,,3.5,3.33333333333333,1,1,5
41ipc2ehbde5wrxnyq0w55,,,1.5,1.33333333333333,2,,3
4kkajwqbxbr4zfc0eys6a3,4,,5,3,,2,4
4w3jomxcys3o6tdzpbjzd,1,,2,1,,,
73syy4aj18k6olr11ypxl,,,1.5,2,1,1,4
7b5is1ev3w2i0d3q80ohck,2,,2,1,2,2,2
7nx1cmjz8nin1rn9la865,1,,2,1,,1.5,
7v8saqycz19pnkfk9ope8d,2,,,1,2,2,4
8dywf1lbe4orf996jvxu7,1.33333333333333,,3,1,,,1.5
8hawot9erl511ryvmug1d,,,3,2.5,1,,3
8vv9ehdydhtteajhc5i3gs,1,,,,,,
91107h7ny06qnvf2wsv1p,,,4,3.6,1,1,
927jdmii4xcxbhn00rvjc,2,,,1,,3,2.33333333333333
93u2ldy3lalf5sc8spao9,1,,1,1,2,1,2
96fjbiko6thg310yuacq2d,1.2,,2,1,,,
9fig36z1cml41m265ckifw,,,1,1,1.75,1,3
9p8073vpokhypph8y2w3np,1,,1,1.33333333333333,2,,2
a5k4htaq9hs34pnvl6wv,,,1.5,1.33333333333333,2,,1
ae53qumvh1aukx0p1oqrs,,1,1,1.25,,,3
bkaa9b0qt4ogrmp1inpjol,3,,1,3,1,1,3
bylf76d7dao0y9d8x8mms6r,1,1,2,1,2,1.5,
c6o6iafmvykjd72hc517n,1,,1.5,2,1,,1.5
c7sw3mgoqk8joc7ltgswmq,5,,5,4.66666666666667,1,1,5
cirn7eog41vg0o0yloylkb,,,4,3,1.5,,5
cygru7b0m97zh2lg5og05,2,,1.5,2.5,,,2
e2q2qom6xvfgo3wyh5kqy9,1,5,2,2.5,1,1,5
ee4i8isvlpyncgz1odqs,2,,4,,1,1,4
ef4tkjvfdsb09t2ne9qxj8e,,2,,1,2,1.66666666666667,3
eflnh6b2i1rrh5nbeihqq,2,,1.5,2,4,3,3
fn5aaw2w41wmd3pb8i0fus,2,2,,1.5,,1,4
fypisyyk7pih14hbwgdny,1,,1.5,1,,1.5,2
g0jf4ngddyukxafyxhc3h,,,2.5,1.5,3,1.5,
gjuhi5xh19bytuxd7u4j,3.66666666666667,,4.5,4.5,1,1,
i035g56vlm5ayg6ke1amp,2,,4,2,1,1.25,
i32rhoo9jorzz2cutckge,1,,2,1,,1,1.66666666666667
iautk69t1vbge89n93ao5,2,,1,1,1,1,2
iboag27p95cimh20dsteol,,,,1,3,1,2
iwaqiwf7086hwu3jlrcvh,3.5,,,5,1,2,
j73hro55i35ce9umk98gt,,,3,1,2,,2
jc4v5y00z3es8lmyqd49m,1.5,,,1.25,2,2,1
jrttbqgqqienzwrc3qcif,2,,,1.25,2,1,3
k38skaq9tissznsc4sb4,2,1,1,1,3,,
k4yipc557y1uklyxj98p4,1,,2,1,2,2,
k8nqufnt3xakpe30kvt1s,1,,,1,3,1.5,1.5
k9r8wtrwq8cdtu5kbuy3ye,1,1,1.5,1,3,1,2
kufwhzb3v0da7ognamj9lj,3,,3.5,4,2,1,
l61ianl0xcl23xyrqw1c5g,2,,1,2,,,3.66666666666667
l75lxrs7z1jpq8897r1nkd,2,,2,1,2,2,2
la9i1e7oumst6k8lv30b,2,,1.33333333333333,2.5,2,2,
lg9zv08b06m9xgy94i9wzm,1,,2,1,,,1.75
mi0qglcz8rz7xz74sm1i,1.33333333333333,,,1,,2,1.5
mvnx0b7zy7rlxxu5brwi6s,1,,1.5,1,2,1,3
n2fnmi79nv9jv5cip5dm,2,,2.5,1,3,1.5,
n7olijk734vnsoze5ufj,1.5,,2,2,2,1,2
nkye9hiqk6dlq5fmklm1k,3,,,1,3,2.5,3
nlz815o2yjmlk4nbngwm2c,4,,4,,1,1,
ob703ludngf18wbc1t5jj6,1,,1,1,2,2,1
odmcx0pookmv7hm1i807n,,,2.33333333333333,1,,2,
oql5r4xh8ui7xy6ynw3hsk,3.5,,4.5,3.5,1,1,
puzr5n1dz0hnteu0g8wdrr,,,3,2.75,1,1,
qs8j8yj1w5ilprwml3zr,2,,,2.5,1.33333333333333,1,3
qvh7l545jkq297g7yxn8br,2,1,2,1,2,1,1
r5oyw6bphipfrusmxjmul8,,,4,2.5,,3,
r8o2ms5swtmufwnw27wiah,3,,3,1,1.66666666666667,,
rl8hs3uijzu63jyrgj3f,,,2,1,2,2,
s0o5upffmzlrot9v8lxyfe,1,,,3,2.5,2,
syisq60f84n1v8n1z217m,1,,,1,2,,1
t0gpbakhue89ui683yiltc,2,,2.5,1,,1,
t6ybrbbo92bx87dy9vpy,3,,3,1,,1,1
ttuv6lq5ifqyc6jpwgk94,1,,,1,2,1,2
vj735xlt2yj805wyn5rimq,2,1,,2,3,,3
vks4a5zeivbfimepmxbxq,,,,1.66666666666667,,,
wqc6g1y755ulfhnkoksei,2,,3,2,2,,4
x37bofyh0fazkr02jlztlm,,,3,3.66666666666667,1,1,3
ymxfxn696we9rp1tnnub3f,1,,,1.33333333333333,,1.66666666666667,3
ysobwzccpice783avao5c,2,,3,2,,3,3
yteg94bzq131bqsl7uyqo,2,,,3,1,1,2
ztwx6tnel7ogegc0h9hjqr,3,2,3,,1,1.25,
