participant_id,A1,A10,A2,A3,A4,A5,A6,A7,A8,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E2,E3,E4,E5,E6,E7,E8,E9
g0jf4ngddyukxafyxhc3h,,,2.5,1.5,3.0,1.5,,2.0,2.0,,3.0,1.0,2.6666666666666665,,,,,3.0,1.0,1.0,2.3333333333333335,3.0,3.0,3.0,,2.5,,,,2.0,5.0,,,3.0,3.0,3.0,,2.5,4.666666666666667,3.0,,3.0,,5.0,5.0,5.0,4.0,,,5.0
gjuhi5xh19bytuxd7u4j,3.6666666666666665,,4.5,4.5,1.0,1.0,,,,,,4.0,4.0,3.5,,,,4.0,4.0,1.0,2.0,1.5,1.5,3.0,,,1.0,,4.0,,3.0,1.0,,,3.0,4.0,,,5.0,1.0,5.0,,5.0,3.0,5.0,,,3.0,,5.0
i035g56vlm5ayg6ke1amp,2.0,,4.0,2.0,1.0,1.25,,,,,,,1.5,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,,1.0,1.0,1.0,1.5,,1.0,2.0,,1.3333333333333333,1.0,1.0,,4.0,1.0,,,5.0,5.0,5.0,5.0,3.0,,2.5,
i32rhoo9jorzz2cutckge,1.0,,2.0,1.0,,1.0,1.6666666666666667,1.0,,,4.0,1.0,2.6666666666666665,,,,3.0,3.0,1.0,,,2.6666666666666665,3.0,1.0,2.3333333333333335,,,,,3.0,4.0,,2.0,3.0,,,3.75,2.0,4.0,,,4.0,5.0,5.0,5.0,5.0,4.0,,3.0,
iautk69t1vbge89n93ao5,2.0,,1.0,1.0,1.0,1.0,2.0,,,,3.0,,2.0,2.0,1.0,,,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,,2.3333333333333335,,,1.0,2.0,,2.0,,2.0,,2.0,2.0,5.0,2.0,,2.0,5.0,4.0,5.0,,5.0,,1.0,5.0
iboag27p95cimh20dsteol,,,,1.0,3.0,1.0,2.0,1.5,,1.0,3.0,,1.0,2.0,,,,2.0,1.0,,,,2.5,4.0,3.0,,2.0,2.5,,,,,,4.0,3.0,,3.0,,4.5,3.5,,3.0,5.0,,,5.0,4.0,4.0,4.0,5.0
iwaqiwf7086hwu3jlrcvh,3.5,,,5.0,1.0,2.0,,2.0,,,,1.0,2.3333333333333335,,,,,3.0,1.0,1.0,,2.0,,,,1.5,,1.5,2.6666666666666665,,,,1.0,2.0,1.5,2.0,1.0,2.0,,,,1.5,5.0,5.0,,,,,2.3333333333333335,
j73hro55i35ce9umk98gt,,,3.0,1.0,2.0,,2.0,1.5,,,,1.0,3.0,,,,2.0,2.75,,1.6666666666666667,,,3.25,,3.5,2.0,2.0,2.0,,3.0,2.0,,2.0,3.0,2.5,3.0,,3.0,2.0,,5.0,,,5.0,5.0,5.0,4.0,2.0,3.0,5.0
jc4v5y00z3es8lmyqd49m,1.5,,,1.25,2.0,2.0,1.0,,,,3.1666666666666665,,,2.0,,,1.0,3.0,,,,2.0,3.0,,2.0,,2.0,,3.0,,,,2.0,3.0,3.3333333333333335,,,2.0,5.0,,4.666666666666667,,,5.0,5.0,4.5,,,2.0,5.0
jrttbqgqqienzwrc3qcif,2.0,,,1.25,2.0,1.0,3.0,,,4.0,1.0,,2.0,,,,,2.6666666666666665,,2.0,1.0,,,3.0,,2.0,2.6666666666666665,,3.5,3.0,1.0,,,,,,4.0,2.0,3.0,2.0,5.0,3.0,5.0,5.0,5.0,,,3.0,,
k38skaq9tissznsc4sb4,2.0,1.0,1.0,1.0,3.0,,,2.0,,,3.0,,2.0,3.0,,1.0,2.0,2.75,,1.0,,2.5,,3.0,,1.5,2.6666666666666665,2.0,,,,2.6666666666666665,,,,2.6666666666666665,3.0,2.5,,3.0,,4.0,5.0,5.0,5.0,4.75,,,,5.0
k4yipc557y1uklyxj98p4,1.0,,2.0,1.0,2.0,2.0,,,3.0,,3.0,,2.0,,,,3.0,2.6666666666666665,,1.0,2.0,3.0,,3.0,2.6666666666666665,4.0,,4.0,,3.0,,2.5,,,,3.0,3.0,4.0,4.5,3.0,,,5.0,5.0,5.0,,4.0,,3.0,5.0
k8nqufnt3xakpe30kvt1s,1.0,,,1.0,3.0,1.5,1.5,1.0,,,3.0,,2.0,2.0,,,,2.3333333333333335,1.0,1.0,2.0,,3.0,3.0,2.0,3.0,3.0,2.0,,1.0,,3.0,2.0,,2.5,3.0,3.0,2.5,5.0,,5.0,4.0,,5.0,,5.0,3.5,,,
k9r8wtrwq8cdtu5kbuy3ye,1.0,1.0,1.5,1.0,3.0,1.0,2.0,1.0,,,3.5,2.0,3.0,,2.0,,,2.5,1.0,1.0,,2.5,,3.0,,2.5,2.5,2.5,,2.0,3.0,,1.0,3.0,2.0,,,1.0,4.5,2.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,,,
kufwhzb3v0da7ognamj9lj,3.0,,3.5,4.0,2.0,1.0,,,4.0,,3.3333333333333335,3.0,,3.0,,,4.0,,2.0,1.0,,,,3.0,1.3333333333333333,2.5,,2.0,5.0,,,3.0,3.0,3.5,4.0,,,2.0,,2.0,5.0,,5.0,5.0,5.0,5.0,,3.5,2.0,
l61ianl0xcl23xyrqw1c5g,2.0,,1.0,2.0,,,3.6666666666666665,2.0,,,3.6666666666666665,,4.666666666666667,2.0,,,,4.0,1.0,,3.0,2.0,,,2.0,4.0,3.0,,3.0,1.5,,3.0,,5.0,,4.0,3.0,2.5,5.0,,5.0,,5.0,4.0,5.0,,3.6666666666666665,,3.0,
l75lxrs7z1jpq8897r1nkd,2.0,,2.0,1.0,2.0,2.0,2.0,1.0,,,2.0,2.0,3.0,4.0,1.0,,,,,1.2,,3.0,3.0,,3.0,2.5,,2.0,2.0,2.5,,3.0,2.0,4.2,2.0,,,,4.0,,5.0,,5.0,5.0,,,3.0,,2.0,5.0
la9i1e7oumst6k8lv30b,2.0,,1.3333333333333333,2.5,2.0,2.0,,1.0,,,,,2.75,,,,,2.5,1.0,,,4.0,,4.0,2.3333333333333335,3.0,2.5,,2.0,,3.0,,3.0,4.0,2.0,,,,4.5,3.0,5.0,3.0,5.0,5.0,,5.0,2.0,,,5.0
lg9zv08b06m9xgy94i9wzm,1.0,,2.0,1.0,,,1.75,2.0,,1.0,2.5,,2.5,1.5,,,,3.0,1.0,,1.0,2.0,2.6,,,,2.0,,2.0,,,2.0,1.0,3.0,1.0,2.6666666666666665,,,,3.0,5.0,3.5,5.0,,5.0,,4.0,3.0,,5.0
mi0qglcz8rz7xz74sm1i,1.3333333333333333,,,1.0,,2.0,1.5,,,,2.6666666666666665,,,2.6666666666666665,,,4.0,3.0,1.0,1.0,,2.0,,3.0,,,2.0,2.0,3.0,3.0,,,4.0,3.0,,,3.0,3.0,4.5,1.3333333333333333,,,,5.0,,5.0,,4.0,1.0,
mvnx0b7zy7rlxxu5brwi6s,1.0,,1.5,1.0,2.0,1.0,3.0,1.0,,,3.0,1.0,2.2857142857142856,,,,,,,,2.0,,2.3333333333333335,2.0,1.6666666666666667,1.0,,,3.0,,,4.0,2.0,2.0,3.0,3.5,,2.0,5.0,1.0,5.0,4.0,,4.0,,5.0,5.0,2.0,1.0,5.0
n2fnmi79nv9jv5cip5dm,2.0,,2.5,1.0,3.0,1.5,,2.0,2.0,,3.0,1.0,2.5,3.5,2.0,,,,1.0,1.0,2.0,2.0,2.6666666666666665,3.5,,,2.0,,3.0,3.0,2.0,,2.0,3.0,2.0,3.5,,3.0,4.0,2.0,5.0,3.5,,4.333333333333333,5.0,,3.0,,,5.0
n7olijk734vnsoze5ufj,1.5,,2.0,2.0,2.0,1.0,2.0,1.0,,,3.0,,3.0,2.5,,,3.0,,1.5,2.0,,3.5,3.0,3.0,,2.0,,3.5,2.0,4.0,5.0,1.0,3.0,,2.6666666666666665,3.0,2.0,1.0,,,5.0,,5.0,5.0,5.0,5.0,,,1.0,
nkye9hiqk6dlq5fmklm1k,3.0,,,1.0,3.0,2.5,3.0,2.3333333333333335,,,4.0,,3.0,,,,3.0,3.0,1.5,1.0,2.0,3.0,4.0,,3.0,4.0,,2.5,4.0,4.0,,4.0,,3.5,2.5,4.0,3.5,,5.0,,,5.0,,5.0,5.0,5.0,4.0,,1.0,5.0
nlz815o2yjmlk4nbngwm2c,4.0,,4.0,,1.0,1.0,,3.3333333333333335,,,2.5,1.0,3.0,1.0,,,,3.0,1.0,,,2.0,1.0,,3.0,,,2.0,1.0,2.0,,3.0,3.0,3.0,2.0,2.5,3.0,1.0,4.0,,5.0,3.0,,3.6666666666666665,5.0,,3.0,,,5.0
ob703ludngf18wbc1t5jj6,1.0,,1.0,1.0,2.0,2.0,1.0,,,,3.5,,2.0,3.0,,,2.5,3.0,,1.0,,2.0,,2.0,,3.0,2.0,2.5,1.6666666666666667,,,3.0,,,2.5,4.0,3.0,2.0,5.0,3.0,,4.0,5.0,5.0,,5.0,,2.0,,5.0
odmcx0pookmv7hm1i807n,,,2.3333333333333335,1.0,,2.0,,1.0,,1.0,2.0,1.0,2.5,3.0,,,3.0,,,1.0,2.0,2.0,3.0,2.0,,,2.0,3.0,,,4.0,,3.0,,,1.0,,2.0,4.666666666666667,,,4.0,,5.0,,5.0,,3.6666666666666665,,5.0
oql5r4xh8ui7xy6ynw3hsk,3.5,,4.5,3.5,1.0,1.0,,4.0,,,3.3333333333333335,3.0,5.0,3.0,,,,3.0,1.0,,,1.0,3.0,3.0,3.0,2.0,,1.0,3.0,1.0,4.0,1.0,,,,1.6666666666666667,1.0,1.0,,1.5,,2.0,,4.0,,5.0,2.0,,5.0,5.0
puzr5n1dz0hnteu0g8wdrr,,,3.0,2.75,1.0,1.0,,,,,,2.0,2.3333333333333335,1.0,,,,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,,1.0,1.0,2.0,,2.0,4.0,,,2.0,,1.0,2.5,,5.0,1.5,,4.0,5.0,4.75,,,2.0,,4.0,
qs8j8yj1w5ilprwml3zr,2.0,,,2.5,1.3333333333333333,1.0,3.0,,4.0,,,1.0,,1.5,,,,4.5,1.5,1.0,,1.0,,2.0,,4.5,,3.0,,1.0,,1.5,3.0,2.0,,1.0,2.5,1.0,,,4.0,,5.0,4.0,5.0,,4.0,3.0,4.0,4.5
qvh7l545jkq297g7yxn8br,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,3.0,,2.6666666666666665,,,,,2.25,1.0,,3.0,2.0,,2.5,2.0,,2.0,2.0,,,,2.6666666666666665,,2.0,1.5,3.0,4.0,2.0,,3.0,5.0,,5.0,,5.0,5.0,3.5,2.0,,5.0
r5oyw6bphipfrusmxjmul8,,,4.0,2.5,,3.0,,3.3333333333333335,,,3.5,,3.5,,,,,,1.0,1.0,,2.0,4.0,3.0,1.0,2.0,3.0,1.0,1.5,,,2.0,4.0,3.0,,,,,5.0,3.0,5.0,,5.0,5.0,,5.0,4.0,,2.5,
r8o2ms5swtmufwnw27wiah,3.0,,3.0,1.0,1.6666666666666667,,,2.0,,,1.0,,1.0,2.0,,,,1.5,2.0,1.0,2.0,,,,,2.0,2.0,,2.5,3.0,,2.0,1.0,2.5,1.0,3.0,,,,2.0,5.0,,5.0,4.0,,5.0,3.0,,,
rl8hs3uijzu63jyrgj3f,,,2.0,1.0,2.0,2.0,,1.0,,,2.5,,1.75,,,,,2.0,,2.0,2.0,3.0,3.0,,,,2.6666666666666665,,,3.0,1.5,2.0,2.0,3.0,3.0,,,3.0,5.0,,5.0,4.0,,5.0,,5.0,,2.0,,
s0o5upffmzlrot9v8lxyfe,1.0,,,3.0,2.5,2.0,,2.0,,,3.0,1.0,3.0,,,,4.0,3.0,,1.0,2.0,3.0,,,2.0,2.0,2.0,,2.5,,,2.5,2.0,2.6666666666666665,,3.0,5.0,,3.0,3.0,5.0,3.0,,4.666666666666667,5.0,5.0,2.0,,1.0,5.0
syisq60f84n1v8n1z217m,1.0,,,1.0,2.0,,1.0,1.5,,,4.0,,2.5,,,2.0,2.0,2.6666666666666665,1.0,,2.0,3.0,,3.0,2.0,2.0,3.0,2.0,,3.0,,2.0,,,2.0,3.5,3.0,2.5,3.5,,5.0,,5.0,5.0,5.0,,4.0,,,5.0
t0gpbakhue89ui683yiltc,2.0,,2.5,1.0,,1.0,,1.5,,,2.0,1.0,2.25,,,,,,2.0,1.0,3.0,3.0,,2.5,2.0,,,2.0,,3.0,4.0,3.0,3.0,2.5,3.0,,3.0,,5.0,2.0,5.0,4.0,5.0,4.0,4.5,,,,1.0,5.0
t6ybrbbo92bx87dy9vpy,3.0,,3.0,1.0,,1.0,1.0,,,,3.0,,2.0,1.0,,,,2.5,1.0,,4.0,2.5,,2.0,2.0,,2.0,2.0,2.0,,,,5.0,2.0,3.0,2.0,,2.0,2.0,,,2.0,5.0,3.0,5.0,5.0,4.0,2.5,,
ttuv6lq5ifqyc6jpwgk94,1.0,,,1.0,2.0,1.0,2.0,,,,3.3333333333333335,,3.0,2.5,,,,3.0,1.5,,,4.0,,3.0,4.0,3.0,2.0,3.0,,2.5,,,,2.0,2.5,3.5,,3.0,3.0,3.0,5.0,3.5,5.0,4.0,,5.0,2.0,,2.0,
vj735xlt2yj805wyn5rimq,2.0,1.0,,2.0,3.0,,3.0,,,,2.0,,1.0,1.0,,,,2.0,1.0,,,1.0,2.0,2.0,1.0,,,1.0,1.5,1.0,,,,1.5,2.0,,3.3333333333333335,1.0,3.0,1.0,1.0,1.5,4.0,1.0,,,4.0,,,4.0
vks4a5zeivbfimepmxbxq,,,,1.6666666666666667,,,,,,,5.0,,,,,,,1.5,,,3.0,,,,,,2.0,1.0,,,,,,5.0,,3.0,,,2.0,,5.0,,5.0,,,,,,3.0,
wqc6g1y755ulfhnkoksei,2.0,,3.0,2.0,2.0,,4.0,2.5,,,3.0,,2.0,,,,,3.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,2.0,,,,2.5,2.0,2.0,2.0,2.0,2.0,,3.6666666666666665,4.0,4.0,4.0,,4.0,,,2.0,
x37bofyh0fazkr02jlztlm,,,3.0,3.6666666666666665,1.0,1.0,3.0,,,,1.0,4.0,2.6666666666666665,1.0,,1.0,,4.0,,1.0,2.6666666666666665,,,,,3.0,,2.0,1.25,3.0,,1.0,,3.0,,,2.6666666666666665,1.5,,1.0,,2.0,,,5.0,5.0,4.0,2.0,3.0,4.0
ymxfxn696we9rp1tnnub3f,1.0,,,1.3333333333333333,,1.6666666666666667,3.0,1.0,3.0,,2.6666666666666665,,,1.5,2.0,,,,1.0,1.0,3.0,3.0,4.0,,3.0,2.5,4.0,,,3.0,1.0,2.0,,3.0,,2.6666666666666665,3.0,2.5,,,,,5.0,5.0,5.0,5.0,3.5,,4.0,5.0
ysobwzccpice783avao5c,2.0,,3.0,2.0,,3.0,3.0,2.0,,,3.0,2.0,3.0,,,,,3.5,2.0,,3.0,3.5,,,3.0,3.0,,1.5,4.0,,,2.0,,3.5,,,4.0,3.0,5.0,3.0,5.0,4.0,5.0,,5.0,5.0,,,4.0,4.0
yteg94bzq131bqsl7uyqo,2.0,,,3.0,1.0,1.0,2.0,3.0,,,2.0,,2.0,,,,,3.0,2.0,1.5,,3.0,3.0,3.0,1.0,,1.6666666666666667,,1.0,3.0,2.0,1.0,,4.0,2.0,,3.0,,4.5,2.0,,3.0,5.0,5.0,,,,2.0,,5.0
ztwx6tnel7ogegc0h9hjqr,3.0,2.0,3.0,,1.0,1.25,,2.0,3.0,,2.4,,2.0,,,,,4.0,,1.0,1.0,1.5,,2.5,2.0,3.0,1.0,,,1.0,,1.0,,2.0,,1.0,,1.0,3.25,1.0,,,4.0,3.0,4.5,,,,3.0,4.25
